feature,mean_abs_shap,mean_signed_shap,engineered
sem1_approval_rate,0.091877268249072,-0.018468639059943656,True
Curricular units 1st sem (approved),0.06668835013259226,-0.012174207191362418,False
Curricular units 1st sem (grade),0.03713274314810325,-0.011508989018772989,False
grade_diff_vs_admission,0.030530564509812518,-0.009475925792845062,True
Application mode,0.025265740697649836,-0.006648589259649736,False
sem1_any_approved,0.024539945490724215,-0.008960005197854514,True
Course,0.020069060343171064,-0.004977800914010145,False
Curricular units 1st sem (evaluations),0.01072998963100606,-0.0048621294110516985,False
sem1_evaluation_participation_rate,0.010665967081959162,-0.005266224301907453,True
Previous qualification,0.010532509477862015,-0.0027937947080400568,False
Mother's qualification,0.008406525641849008,-0.003421067332620801,False
Mother's occupation,0.008287684688702113,-0.0037453370099539383,False
Previous qualification (grade),0.007602964372062886,-0.003927933020961042,False
Admission grade,0.007580319477654198,-0.004144789028877504,False
Father's occupation,0.0072881438318778665,-0.0036422790624716906,False
Father's qualification,0.006826839454550413,-0.0032731240104029004,False
sem1_load,0.006139352766659792,-0.0017012439121880426,True
Curricular units 1st sem (enrolled),0.005705304342817388,-0.0015774719718545881,False
Unemployment rate,0.005523295548759689,-0.002331508793977084,False
sem1_credited_share,0.004505112125077805,-0.001620597748804886,True
Curricular units 1st sem (credited),0.004199163884727791,-0.0012699899593569524,False
GDP,0.0035763125255427078,-0.002533153516426443,False
Inflation rate,0.003024831759000033,-0.002263603446616622,False
Application order,0.002572516417934221,-0.0015152793382456047,False
Displaced,0.0025072224912998033,-0.0012135569836114312,False
sem1_non_evaluation_rate,0.001642538957500119,-0.0003861342897348428,True
Curricular units 1st sem (without evaluations),0.0015373121523547639,-0.0002750228236406612,False
Daytime/evening attendance,0.0008143035207603137,-0.00035694304960997485,False
