group,bin,lower,upper,n,mean_score,observed_rate,attribute
female,0,0.0,0.2,333,0.08165258463533416,0.057057057057057055,gender
female,1,0.2,0.4,102,0.28427764945974,0.2549019607843137,gender
female,2,0.4,0.6000000000000001,55,0.4884844074602635,0.4909090909090909,gender
female,3,0.6000000000000001,0.8,35,0.6877942537994483,0.6285714285714286,gender
female,4,0.8,1.0,50,0.9388381119906904,0.94,gender
male,0,0.0,0.2,103,0.09481361248949809,0.07766990291262135,gender
male,1,0.2,0.4,57,0.29593509524468353,0.2807017543859649,gender
male,2,0.4,0.6000000000000001,61,0.5086942230951935,0.6885245901639344,gender
male,3,0.6000000000000001,0.8,21,0.7081375345218006,0.7142857142857143,gender
male,4,0.8,1.0,68,0.9313617526387309,0.9117647058823529,gender
17-19,0,0.0,0.2,260,0.07156091877185503,0.046153846153846156,age_band
17-19,1,0.2,0.4,72,0.2802733351706494,0.25,age_band
17-19,2,0.4,0.6000000000000001,34,0.4844839010551893,0.5588235294117647,age_band
17-19,3,0.6000000000000001,0.8,17,0.6759323311077571,0.7058823529411765,age_band
17-19,4,0.8,1.0,20,0.9237476112137593,0.85,age_band
20-24,0,0.0,0.2,119,0.09658538727205554,0.07563025210084033,age_band
20-24,1,0.2,0.4,51,0.2980448707628798,0.27450980392156865,age_band
20-24,2,0.4,0.6000000000000001,41,0.4951386664378551,0.6097560975609756,age_band
20-24,3,0.6000000000000001,0.8,20,0.686103058876604,0.5,age_band
20-24,4,0.8,1.0,25,0.9202546266719689,0.84,age_band
25-34,0,0.0,0.2,31,0.1101553508199083,0.0967741935483871,age_band
25-34,1,0.2,0.4,22,0.3005183920962761,0.36363636363636365,age_band
25-34,2,0.4,0.6000000000000001,30,0.5188687082911214,0.7,age_band
25-34,3,0.6000000000000001,0.8,13,0.7143987955598361,0.7692307692307693,age_band
25-34,4,0.8,1.0,45,0.9303412354214474,0.9555555555555556,age_band
35+,0,0.0,0.2,26,0.13237680494271173,0.11538461538461539,age_band
35+,1,0.2,0.4,14,0.27666053618062436,0.14285714285714285,age_band
35+,2,0.4,0.6000000000000001,11,0.5052537100508327,0.36363636363636365,age_band
35+,3,0.6000000000000001,0.8,6,0.7405986598827797,0.8333333333333334,age_band
35+,4,0.8,1.0,28,0.9617082604974522,1.0,age_band
