attribute,operating_point,group,n,reliable,base_rate,selection_rate,tpr,fpr,brier,n_selected,n_positive
gender,threshold,female,575,True,0.24521739130434783,0.050434782608695654,0.19858156028368795,0.002304147465437788,0.10809245558311331,29,141
gender,threshold,male,310,True,0.4612903225806452,0.09032258064516129,0.1888111888111888,0.005988023952095809,0.13642936806954914,28,143
age_band,threshold,17-19,403,True,0.1935483870967742,0.019851116625310174,0.10256410256410256,0.0,0.09632414032519722,8,78
age_band,threshold,20-24,256,True,0.30859375,0.03515625,0.11392405063291139,0.0,0.14681718304467922,9,79
age_band,threshold,25-34,141,True,0.6028368794326241,0.1347517730496454,0.2,0.03571428571428571,0.13775988852142443,19,85
age_band,threshold,35+,85,True,0.49411764705882355,0.24705882352941178,0.5,0.0,0.10139169846867266,21,42
gender,top_k=50,female,575,True,0.24521739130434783,0.043478260869565216,0.1702127659574468,0.002304147465437788,0.10809245558311331,25,141
gender,top_k=50,male,310,True,0.4612903225806452,0.08064516129032258,0.16783216783216784,0.005988023952095809,0.13642936806954914,25,143
age_band,top_k=50,17-19,403,True,0.1935483870967742,0.01488833746898263,0.07692307692307693,0.0,0.09632414032519722,6,78
age_band,top_k=50,20-24,256,True,0.30859375,0.02734375,0.08860759493670886,0.0,0.14681718304467922,7,79
age_band,top_k=50,25-34,141,True,0.6028368794326241,0.12056737588652482,0.17647058823529413,0.03571428571428571,0.13775988852142443,17,85
age_band,top_k=50,35+,85,True,0.49411764705882355,0.23529411764705882,0.47619047619047616,0.0,0.10139169846867266,20,42
