model,selection,imbalance,variant,estimator,key_params,steps,seed,n_folds,n_train,capacity_k,n_cohort_expected,fit_time_s_mean,fit_time_s_total,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,brier_std,ece_mean,ece_std,recall_at_k_mean,recall_at_k_std,precision_at_k_mean,precision_at_k_std,k_fold_mean,precision_at_threshold_mean,precision_at_threshold_std,recall_at_threshold_mean,recall_at_threshold_std,f1_at_threshold_mean,f1_at_threshold_std,accuracy_at_threshold_mean,accuracy_at_threshold_std,n_predicted_positive_at_threshold_mean,n_predicted_positive_at_threshold_std,thr_tn_sum,thr_fp_sum,thr_fn_sum,thr_tp_sum,topk_tn_sum,topk_fp_sum,topk_fn_sum,topk_tp_sum,recall_at_k2w_mean,recall_at_k2w_std,precision_at_k2w_mean,precision_at_k2w_std,recall_at_k5w_mean,recall_at_k5w_std,precision_at_k5w_mean,precision_at_k5w_std,recall_at_k10w_mean,recall_at_k10w_std,precision_at_k10w_mean,precision_at_k10w_std
dummy,none,none,dummy__sel-none__imb-none,sklearn.dummy.DummyClassifier,strategy=prior,pre>clf,42,5,3539,50,885,0.021088466374203564,0.10544233187101781,0.3212771398205196,0.0007152010651214411,0.5,0.0,0.21805836951124355,0.0002557034357751398,0.0007568083761009259,0.0002887756706961721,0.05716825102403585,0.011652460333063684,0.325,0.06614378277661476,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787228601794804,0.0007152010651214959,0.0,0.0,2402,0,1137,0,2267,135,1072,65,0.029024654146379163,0.006671133738237085,0.4125,0.09478594305064438,0.05716825102403585,0.011652460333063684,0.325,0.06614378277661476,0.11609861658551665,0.013797852003553383,0.32999999999999996,0.03913118960624633
logreg,none,class_weight,logreg__sel-none__imb-class_weight,sklearn.linear_model.LogisticRegression,C=1.0;class_weight=balanced,pre>clf,42,5,3539,50,885,0.03125670878216624,0.1562835439108312,0.8181533264185121,0.016570940949721825,0.8777003597950443,0.012505107044984214,0.13437438376780672,0.004655857777334372,0.09612805263848048,0.00895829267031931,0.1706236958033851,0.0018405831171580452,0.97,0.011180339887498959,40.0,0.694782669297776,0.017273107416038307,0.7502666357523765,0.025878853493170786,0.7212981743759703,0.017905491806310528,0.8137938612263165,0.011492380497849113,245.6,7.700649323271382,2027,375,284,853,2396,6,943,194,0.06859880979982998,0.002303451742549463,0.975,0.03423265984407289,0.1706236958033851,0.0018405831171580452,0.97,0.011180339887498959,0.33861581265940177,0.00900036156305031,0.9625,0.024999999999999994
logreg,none,smotenc,logreg__sel-none__imb-smotenc,sklearn.linear_model.LogisticRegression,C=1.0;class_weight=balanced,pre>smote>clf,42,5,3539,50,885,1.5291118084220217,7.645559042110108,0.8098145396478561,0.017212793878052243,0.8719923402374711,0.012560916936312934,0.12588019270607276,0.006011805385833904,0.042199301818419424,0.008070608853184719,0.1688654455522065,0.0023746660088317154,0.96,0.013693063937629165,40.0,0.7580605613366947,0.019132075671886063,0.6719800602828658,0.026291136717594282,0.7122535227805817,0.020138034341014976,0.8256586675616715,0.011469010836560168,201.6,6.767569726275452,2158,244,373,764,2394,8,945,192,0.06859880979982998,0.002303451742549463,0.975,0.03423265984407289,0.1688654455522065,0.0023746660088317154,0.96,0.013693063937629165,0.3359687765669681,0.010437906817873826,0.9549999999999998,0.030103986446980757
logreg,decided,class_weight,logreg__sel-decided__imb-class_weight,sklearn.linear_model.LogisticRegression,C=1.0;class_weight=balanced,pre>select>clf,42,5,3539,50,885,0.07505499157123267,0.3752749578561634,0.8111208343053041,0.017152472966663317,0.8729318884698696,0.0119983624137148,0.1364166479923629,0.0035990911784113343,0.09840489354612145,0.009274614840565623,0.17062756008965144,0.0038356812823781027,0.97,0.02091650066335191,40.0,0.6791133116615263,0.010516144923654465,0.747623463946209,0.027758727936002658,0.7114561535813815,0.012848354105429569,0.8053144902868011,0.006798104766042434,250.4,10.334408546211051,2000,402,287,850,2396,6,943,194,0.06859880979982998,0.002303451742549463,0.975,0.03423265984407289,0.17062756008965144,0.0038356812823781027,0.97,0.02091650066335191,0.3350954478707783,0.011472785438408498,0.9525,0.03235544776386197
logreg,decided,smotenc,logreg__sel-decided__imb-smotenc,sklearn.linear_model.LogisticRegression,C=1.0;class_weight=balanced,pre>select>smote>clf,42,5,3539,50,885,0.17567842518910765,0.8783921259455383,0.802445658013407,0.019443267812444463,0.8656355012079711,0.010737176540183038,0.1386200697569911,0.004416943621430184,0.09674476405271351,0.007526805458625218,0.1697503671071953,0.004198525243904794,0.9649999999999999,0.022360679774997918,40.0,0.6823494266110642,0.015606620899317641,0.7414483344926193,0.01752977573718395,0.7105078492633877,0.011298299958411575,0.805876665148355,0.008645292627042419,247.2,8.10555365166378,2009,393,294,843,2395,7,944,193,0.06859880979982998,0.002303451742549463,0.975,0.03423265984407289,0.1697503671071953,0.004198525243904794,0.9649999999999999,0.022360679774997918,0.3324600046371435,0.011647333177463326,0.945,0.03259601202601322
random_forest,none,class_weight,random_forest__sel-none__imb-class_weight,sklearn.ensemble.RandomForestClassifier,class_weight=balanced_subsample;n_estimators=500,pre>clf,42,5,3539,50,885,1.14480250000488,5.724012500024401,0.8070401079861258,0.009375133486560255,0.8723854801492177,0.010328987306236803,0.12600073219859514,0.003912148673045217,0.032119412013840595,0.012356103720090893,0.16886930983847287,0.006025142926815315,0.96,0.03354101966249681,40.0,0.8038481461586547,0.02240102187272478,0.5893075199010742,0.02910544656051138,0.6796389230972965,0.020584487620598634,0.821701867523314,0.009837773347484605,166.8,9.093954035511727,2238,164,467,670,2394,8,945,192,0.0703609243372749,0.00016932454053796573,1.0,0.0,0.16886930983847287,0.006025142926815315,0.96,0.03354101966249681,0.33508771929824566,0.0043155272212800225,0.9525,0.01369306393762915
random_forest,none,smotenc,random_forest__sel-none__imb-smotenc,sklearn.ensemble.RandomForestClassifier,class_weight=balanced_subsample;n_estimators=500,pre>smote>clf,42,5,3539,50,885,2.9090154752135278,14.545077376067638,0.803230080287816,0.009245806573289415,0.8685495795576873,0.010320407504188488,0.12993759337057192,0.003936700723249286,0.054562590399475794,0.006171269785150208,0.17150475307210758,0.004414970312580665,0.975,0.025000000000000022,40.0,0.7361964243236228,0.019223719780348425,0.6684519669217096,0.024757659116900196,0.7003691350162098,0.014923132462201576,0.8163334372178139,0.008676617611418639,206.6,9.6591925128346,2129,273,377,760,2397,5,942,195,0.0703609243372749,0.00016932454053796573,1.0,0.0,0.17150475307210758,0.004414970312580665,0.975,0.025000000000000022,0.3306940258134322,0.005613426152979418,0.9400000000000001,0.016298006013006603
random_forest,decided,class_weight,random_forest__sel-decided__imb-class_weight,sklearn.ensemble.RandomForestClassifier,class_weight=balanced_subsample;n_estimators=500,pre>select>clf,42,5,3539,50,885,0.8996409163810313,4.498204581905156,0.7823327780492969,0.013625106040111,0.8599201570721903,0.012215334916942797,0.13444390466356462,0.0054761046891420055,0.046978211943645064,0.011249108518418878,0.16975036710719532,0.005219766118283893,0.9650000000000001,0.028504385627478437,40.0,0.7443758177856541,0.019463927381958502,0.6174704382100626,0.03467100003687552,0.6747212193655384,0.025869737755253825,0.80898760578237,0.012962738327659928,188.6,8.532291603080617,2161,241,435,702,2395,7,944,193,0.06948373135481875,0.0020694867522607387,0.9875,0.02795084971874737,0.16975036710719532,0.005219766118283893,0.9650000000000001,0.028504385627478437,0.3289357755622537,0.0035850914534212683,0.9349999999999999,0.010458250331675908
random_forest,decided,smotenc,random_forest__sel-decided__imb-smotenc,sklearn.ensemble.RandomForestClassifier,class_weight=balanced_subsample;n_estimators=500,pre>select>smote>clf,42,5,3539,50,885,1.2019517079927027,6.009758539963514,0.7703239741568221,0.019640367417288956,0.8525452173880617,0.011674807217340426,0.14154894982023422,0.007685865351319014,0.059845234054725735,0.011571512759957141,0.16975036710719532,0.005219766118283893,0.9650000000000001,0.028504385627478437,40.0,0.6976058865582203,0.03179642512978933,0.6631888090269727,0.03437229958428158,0.6798592857981568,0.03187597548046933,0.7993802891185002,0.02010036722385261,216.2,5.848076606885378,2075,327,383,754,2395,7,944,193,0.06948373135481875,0.0020694867522607387,0.9875,0.02795084971874737,0.16975036710719532,0.005219766118283893,0.9650000000000001,0.028504385627478437,0.32365716052245147,0.004820520936643152,0.9199999999999999,0.014252192813739227
hist_gb,none,class_weight,hist_gb__sel-none__imb-class_weight,sklearn.ensemble.HistGradientBoostingClassifier,class_weight=balanced;learning_rate=0.1;max_leaf_nodes=31,pre>clf,42,5,3539,50,885,0.5286182083655149,2.6430910418275744,0.8108781248472464,0.014413459457930392,0.8693883726431402,0.010359175527694305,0.13162722989122994,0.0043726023993571365,0.06671982110358482,0.013519369454637106,0.1732630033232862,0.003916955007238995,0.985,0.022360679774997918,40.0,0.7119622632967676,0.010604709247450952,0.7317644331092047,0.013181135116247685,0.7215872137045032,0.0039717801277899855,0.8185933242234636,0.003366418378639678,233.8,7.049822692805827,2065,337,305,832,2399,3,940,197,0.0703609243372749,0.00016932454053796573,1.0,0.0,0.1732630033232862,0.003916955007238995,0.985,0.022360679774997918,0.32981296854470976,0.008082508305562178,0.9375,0.023385358667337125
hist_gb,decided,class_weight,hist_gb__sel-decided__imb-class_weight,sklearn.ensemble.HistGradientBoostingClassifier,class_weight=balanced;learning_rate=0.1;max_leaf_nodes=31,pre>select>clf,42,5,3539,50,885,0.4237662501865998,2.118831250932999,0.8076429285995473,0.015978713535421886,0.8651612561403456,0.016744345307634852,0.13652352833284392,0.005334039315827586,0.08080699204436073,0.003987368202338008,0.174147924878275,0.004195518793498306,0.99,0.022360679774997918,40.0,0.6867798278731783,0.012566095971706128,0.7432220418888631,0.028143627651854294,0.7135513968902745,0.012057849528994753,0.8084202366967933,0.0066767544711668365,246.2,11.584472366059664,2016,386,292,845,2400,2,939,198,0.0703609243372749,0.00016932454053796573,1.0,0.0,0.174147924878275,0.004195518793498306,0.99,0.022360679774997918,0.3324600046371435,0.009371416059146756,0.945,0.02592055169165965
