component,explained_variance_ratio,cumulative
1,0.2325159496936192,0.2325159496936192
2,0.11985277190905634,0.3523687216026755
3,0.08480890096893551,0.437177622571611
4,0.06996317467681658,0.5071407972484276
5,0.058673450367238894,0.5658142476156666
6,0.05020423177953986,0.6160184793952064
7,0.04221394248797164,0.658232421883178
8,0.0377456552534944,0.6959780771366724
9,0.026913810041978063,0.7228918871786504
10,0.02472668950025382,0.7476185766789042
11,0.018970446937156674,0.7665890236160608
12,0.016530373910511775,0.7831193975265727
13,0.015187864282666401,0.798307261809239
14,0.01132125294164981,0.8096285147508888
15,0.010736184716434203,0.820364699467323
16,0.009451110492737008,0.8298158099600601
17,0.008974283818001081,0.8387900937780611
18,0.008248119335550681,0.8470382131136118
19,0.007818229596244116,0.854856442709856
20,0.0073413376091319375,0.8621977803189879
21,0.006962111493954143,0.869159891812942
22,0.006197770034762803,0.8753576618477048
23,0.005918250667449147,0.8812759125151539
24,0.005507778526600725,0.8867836910417546
25,0.005055477821613121,0.8918391688633677
26,0.004968582771763309,0.8968077516351309
27,0.004712509816402388,0.9015202614515333
28,0.004547185696191766,0.906067447147725
29,0.00431368787673446,0.9103811350244595
30,0.004226932460621103,0.9146080674850806
31,0.004033897851366509,0.9186419653364472
32,0.003601945269015221,0.9222439106054624
33,0.0033586891569330852,0.9256025997623955
34,0.003301877493988141,0.9289044772563836
35,0.0032355817535405537,0.9321400590099241
36,0.003105486762605623,0.9352455457725297
37,0.0030198248808794748,0.9382653706534092
38,0.0029043264789859833,0.9411696971323952
39,0.002808267167190978,0.9439779642995861
40,0.0027167240234025466,0.9466946883229886
41,0.002611239323130544,0.9493059276461192
42,0.002575428166416495,0.9518813558125357
43,0.002417320047919295,0.954298675860455
44,0.002371175800144832,0.9566698516605998
45,0.0023420133407906227,0.9590118650013905
46,0.002182289838282409,0.9611941548396729
47,0.0020554485149979406,0.9632496033546708
48,0.002030287910681163,0.965279891265352
49,0.0018911993116860907,0.9671710905770381
50,0.0017673168693905857,0.9689384074464287
51,0.0016812247774202326,0.970619632223849
52,0.001625567086716515,0.9722451993105654
53,0.0015045655982329333,0.9737497649087984
54,0.0014847681953760253,0.9752345331041744
55,0.001363171142603577,0.9765977042467779
56,0.001212543179439854,0.9778102474262178
57,0.0011995571153995428,0.9790098045416173
58,0.001096479062244019,0.9801062836038613
59,0.0010890734708740438,0.9811953570747354
60,0.0010387563724448005,0.9822341134471801
61,0.0009486785069324815,0.9831827919541126
62,0.0008799895771166443,0.9840627815312293
63,0.0008540184957248387,0.9849168000269541
64,0.0007787980847524118,0.9856955981117066
65,0.0007074596731872915,0.9864030577848939
66,0.0007006121135359264,0.9871036698984298
67,0.0006288433415792113,0.987732513240009
68,0.0006218082133828058,0.9883543214533917
69,0.0005902377209009161,0.9889445591742927
70,0.0005686347338139783,0.9895131939081067
71,0.0005475589720439323,0.9900607528801506
72,0.0005077476950035407,0.9905685005751541
73,0.0004923300384399522,0.9910608306135941
74,0.00044936220180384195,0.9915101928153979
75,0.00042413959386893734,0.9919343324092668
76,0.00038451507934078426,0.9923188474886075
77,0.00036993140817517665,0.9926887788967828
78,0.00035328107822174673,0.9930420599750045
79,0.0003393753463904506,0.993381435321395
80,0.00033030953869425076,0.9937117448600893
81,0.0002968662177869816,0.9940086110778763
82,0.0002868909978012693,0.9942955020756775
83,0.00027836914256955733,0.994573871218247
84,0.00024600737051947954,0.9948198785887665
85,0.00023073277027986982,0.9950506113590464
86,0.00021411994392144928,0.9952647313029678
87,0.0002115236044278856,0.9954762549073957
88,0.00019958091916623814,0.9956758358265619
89,0.00018918259732120102,0.9958650184238831
90,0.00016948016244516795,0.9960344985863282
91,0.00016542569346208872,0.9961999242797903
92,0.00015655762989235714,0.9963564819096826
93,0.00014783532331638625,0.996504317232999
94,0.00014281244262912948,0.9966471296756282
95,0.0001317450728109756,0.9967788747484392
96,0.00012307252462194948,0.9969019472730611
97,0.00012151207037858103,0.9970234593434397
98,0.00010584312567786937,0.9971293024691176
99,0.00010339378578433573,0.997232696254902
100,9.992765943313987e-05,0.9973326239143351
101,9.871655556323433e-05,0.9974313404698983
102,9.665964641697943e-05,0.9975280001163154
103,8.467158270037771e-05,0.9976126716990158
104,8.105152403480976e-05,0.9976937232230506
105,7.746674024238515e-05,0.997771189963293
106,7.256311152356462e-05,0.9978437530748165
107,6.786946053871002e-05,0.9979116225353553
108,6.762447687852906e-05,0.9979792470122338
109,6.560012151126109e-05,0.9980448471337451
