column,code,label,count,documented
Application mode,1.0,1st phase - general contingent,1708,True
Application mode,17.0,2nd phase - general contingent,872,True
Application mode,39.0,Over 23 years old,785,True
Application mode,43.0,Change of course,312,True
Application mode,44.0,Technological specialization diploma holders,213,True
Application mode,7.0,Holders of other higher courses,139,True
Application mode,18.0,3rd phase - general contingent,124,True
Application mode,42.0,Transfer,77,True
Application mode,51.0,Change of institution/course,59,True
Application mode,16.0,1st phase - special contingent (Madeira Island),38,True
Application mode,53.0,Short cycle diploma holders,35,True
Application mode,15.0,International student (bachelor),30,True
Application mode,5.0,1st phase - special contingent (Azores Island),16,True
Application mode,10.0,Ordinance No. 854-B/99,10,True
Application mode,2.0,Ordinance No. 612/93,3,True
Application mode,57.0,Change of institution/course (International),1,True
Application mode,26.0,"Ordinance No. 533-A/99, item b2) (Different Plan)",1,True
Application mode,27.0,"Ordinance No. 533-A/99, item b3 (Other Institution)",1,True
Course,9500.0,Nursing,766,True
Course,9147.0,Management,380,True
Course,9238.0,Social Service,355,True
Course,9085.0,Veterinary Nursing,337,True
Course,9773.0,Journalism and Communication,331,True
Course,9991.0,Management (evening attendance),268,True
Course,9670.0,Advertising and Marketing Management,268,True
Course,9254.0,Tourism,252,True
Course,9070.0,Communication Design,226,True
Course,171.0,Animation and Multimedia Design,215,True
Course,8014.0,Social Service (evening attendance),215,True
Course,9003.0,Agronomy,210,True
Course,9853.0,Basic Education,192,True
Course,9119.0,Informatics Engineering,170,True
Course,9130.0,Equinculture,141,True
Course,9556.0,Oral Hygiene,86,True
Course,33.0,Biofuel Production Technologies,12,True
Daytime/evening attendance,1.0,daytime,3941,True
Daytime/evening attendance,0.0,evening,483,True
Debtor,0.0,no,3921,True
Debtor,1.0,yes,503,True
Displaced,1.0,yes,2426,True
Displaced,0.0,no,1998,True
Educational special needs,0.0,no,4373,True
Educational special needs,1.0,yes,51,True
Father's occupation,9.0,Unskilled Workers,1010,True
Father's occupation,7.0,"Skilled Workers in Industry, Construction and Craftsmen",666,True
Father's occupation,5.0,"Personal Services, Security and Safety Workers and Sellers",516,True
Father's occupation,4.0,Administrative staff,386,True
Father's occupation,3.0,Intermediate Level Technicians and Professions,384,True
Father's occupation,8.0,Installation and Machine Operators and Assembly Workers,318,True
Father's occupation,10.0,Armed Forces Professions,266,True
Father's occupation,6.0,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",242,True
Father's occupation,2.0,Specialists in Intellectual and Scientific Activities,197,True
Father's occupation,1.0,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",134,True
Father's occupation,0.0,Student,128,True
Father's occupation,90.0,Other Situation,65,True
Father's occupation,99.0,(blank),19,True
Father's occupation,193.0,"Unskilled workers in extractive industry, construction, manufacturing and transport",15,True
Father's occupation,144.0,Other administrative support staff,8,True
Father's occupation,171.0,"Skilled construction workers and the like, except electricians",8,True
