kind,method,k,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,fit_time_s
filter,mutual_info,10,0.7788739828452267,0.011674428293874613,0.849408606503291,0.011555845940423819,0.7755681991577148
filter,mutual_info,20,0.7925224506411074,0.012458845754413085,0.8562533984730687,0.010891108575622322,0.774781608581543
filter,mutual_info,30,0.8011175157198075,0.011016574889166322,0.8625185191835436,0.010552636322305162,0.7767058849334717
filter,mutual_info,50,0.8037615361793401,0.011789929447618534,0.8635484854715958,0.01046583834864236,0.7751430988311767
filter,mutual_info,80,0.8119535802062063,0.01323450259242643,0.8713812073311697,0.012329895103053665,0.7804604530334472
filter,mutual_info,all,0.8179836987309212,0.01645087299344271,0.877789966748928,0.012361604061630989,0.7974905014038086
embedded,l1_logreg,10,0.7527717807368801,0.03735741332170918,0.8424519289516826,0.025598129085108744,0.1332077980041504
embedded,l1_logreg,20,0.8000261671663382,0.014583917479027049,0.8680791141279055,0.011027914561685623,0.10512847900390625
embedded,l1_logreg,30,0.8111151600506281,0.017352340526517466,0.8729759035406932,0.01211705034788869,0.07610535621643066
embedded,l1_logreg,50,0.8150345379629202,0.016333409691633587,0.8755888139249489,0.011726253336538976,0.07074189186096191
embedded,l1_logreg,80,0.8175029037535921,0.01586461860519641,0.8764854671571284,0.013560074016742432,0.07214078903198243
embedded,l1_logreg,all,0.8179836987309212,0.01645087299344271,0.877789966748928,0.012361604061630989,0.07692108154296876
