feature,score,selected_frequency_top20,source_column
cat__Mother's occupation_191,1.7028506148983946,1.0,Mother's occupation
num__Curricular units 1st sem (approved),1.5095611340501105,1.0,Curricular units 1st sem (approved)
cat__Mother's occupation_0,1.41136254626842,1.0,Mother's occupation
cat__Mother's qualification_4,1.3665594685961193,1.0,Mother's qualification
cat__Course_9130,1.2063469650726861,1.0,Course
cat__Course_9853,1.0686842338187483,1.0,Course
cat__Father's occupation_90,1.0501535929748442,0.8,Father's occupation
cat__Course_8014,0.8816453426206458,1.0,Course
cat__Application mode_7,0.8577262491071826,0.8,Application mode
cat__Mother's qualification_34,0.8436179069413932,1.0,Mother's qualification
num__sem1_any_approved,0.822866728746675,1.0,sem1_any_approved
num__sem1_approval_rate,0.7657973813922861,1.0,sem1_approval_rate
cat__Application mode_15,0.734819819283333,0.4,Application mode
cat__Course_9238,0.7320830886282597,1.0,Course
cat__Mother's occupation_8,0.6902803035087919,0.4,Mother's occupation
cat__Application mode_39,0.6848895705401351,1.0,Application mode
num__Curricular units 1st sem (grade),0.6844667180905192,1.0,Curricular units 1st sem (grade)
num__Curricular units 1st sem (credited),0.5116243460907285,0.6,Curricular units 1st sem (credited)
cat__Course_9254,0.47800718467770936,0.6,Course
num__sem1_evaluation_participation_rate,0.42953820299823187,0.0,sem1_evaluation_participation_rate
cat__Course_9147,0.4218910656011757,0.4,Course
cat__Course_9773,0.40646341103622097,0.2,Course
cat__Mother's occupation_90,0.395292109971415,0.2,Mother's occupation
cat__Previous qualification_19,0.38889049824514055,0.0,Previous qualification
cat__Course_9500,0.3750953497203081,0.4,Course
cat__Father's occupation_4,0.3678687870428979,0.2,Father's occupation
cat__Mother's occupation_5,0.36636679509626835,0.2,Mother's occupation
cat__Mother's occupation_1,0.36489673094995945,0.2,Mother's occupation
cat__Application mode_5,0.3627585447974536,0.2,Application mode
cat__Father's occupation_5,0.35364423509304754,0.2,Father's occupation
cat__Previous qualification_2,0.3440378405587755,0.0,Previous qualification
num__Unemployment rate,0.3344128372242318,0.0,Unemployment rate
cat__Application mode_44,0.3246057297378909,0.2,Application mode
num__Curricular units 1st sem (evaluations),0.317126361091193,0.0,Curricular units 1st sem (evaluations)
cat__Father's qualification_2,0.3120989275640744,0.2,Father's qualification
cat__Application mode_51,0.30294930665177555,0.2,Application mode
cat__Father's qualification_19,0.3027085050472197,0.0,Father's qualification
cat__Father's occupation_9,0.2990390025768543,0.0,Father's occupation
cat__Mother's qualification_38,0.2933055192582855,0.0,Mother's qualification
cat__Application mode_43,0.2673401139516725,0.0,Application mode
cat__Mother's qualification_19,0.2624124796244288,0.0,Mother's qualification
num__Curricular units 1st sem (without evaluations),0.24835630774702366,0.0,Curricular units 1st sem (without evaluations)
cat__Mother's qualification_12,0.23918365298444133,0.4,Mother's qualification
cat__Application mode_1,0.23773224798193232,0.0,Application mode
cat__Father's occupation_6,0.2362580612042473,0.0,Father's occupation
cat__Mother's qualification_2,0.21308278758214405,0.2,Mother's qualification
num__sem1_non_evaluation_rate,0.19618152310466183,0.0,sem1_non_evaluation_rate
cat__Course_9085,0.1958628170563223,0.0,Course
cat__Father's occupation_3,0.19213971935719312,0.0,Father's occupation
bin__Displaced,0.1698485287151629,0.0,Displaced
num__sem1_credited_share,0.16671775619929358,0.0,sem1_credited_share
cat__Father's qualification_37,0.1544881651736993,0.0,Father's qualification
cat__Father's qualification_38,0.15159354886087847,0.0,Father's qualification
num__Application order,0.13164393854801032,0.0,Application order
cat__Father's occupation_8,0.1306887196888899,0.0,Father's occupation
cat__Mother's occupation_4,0.12223612327643184,0.0,Mother's occupation
cat__Previous qualification_1,0.1209541154174828,0.0,Previous qualification
cat__Father's occupation_7,0.10348068023960406,0.0,Father's occupation
cat__Application mode_53,0.09215894372208674,0.0,Application mode
cat__Father's occupation_10,0.09041913220679933,0.0,Father's occupation
cat__Application mode_18,0.0878501403466842,0.0,Application mode
num__GDP,0.0869574141908918,0.0,GDP
cat__Mother's qualification_1,0.08631413634114361,0.0,Mother's qualification
cat__Mother's occupation_6,0.08529108972931095,0.0,Mother's occupation
num__Inflation rate,0.0726659316009044,0.0,Inflation rate
cat__Father's qualification_1,0.07015915446707521,0.0,Father's qualification
num__Curricular units 1st sem (enrolled),0.0634045956457308,0.0,Curricular units 1st sem (enrolled)
num__Admission grade,0.06203521899640646,0.0,Admission grade
cat__Previous qualification_40,0.05676985207842745,0.0,Previous qualification
cat__Previous qualification_3,0.05672397363167488,0.0,Previous qualification
cat__Mother's qualification_3,0.055855321324451854,0.0,Mother's qualification
num__sem1_load,0.042996762686197475,0.0,sem1_load
cat__Mother's occupation_2,0.02367242767987918,0.0,Mother's occupation
num__Previous qualification (grade),0.02218045316297558,0.0,Previous qualification (grade)
cat__Course_9670,0.011098804078317434,0.0,Course
