feature,score,selected_frequency_top20,source_column
num__sem1_approval_rate,0.21005882841836665,1.0,sem1_approval_rate
num__Curricular units 1st sem (approved),0.15681463986346622,1.0,Curricular units 1st sem (approved)
num__Curricular units 1st sem (grade),0.13173647807159927,1.0,Curricular units 1st sem (grade)
num__grade_diff_vs_admission,0.11256331411112663,1.0,grade_diff_vs_admission
num__sem1_any_approved,0.0886808972664348,1.0,sem1_any_approved
num__sem1_evaluation_participation_rate,0.07357784797443156,1.0,sem1_evaluation_participation_rate
num__Curricular units 1st sem (evaluations),0.0436582879123355,1.0,Curricular units 1st sem (evaluations)
num__Previous qualification (grade),0.03140325514133657,1.0,Previous qualification (grade)
cat__Application mode_39,0.031388409483140034,0.8,Application mode
cat__Previous qualification_19,0.028627975825228358,0.0,Previous qualification
num__sem1_load,0.026267733091420276,0.8,sem1_load
num__Curricular units 1st sem (enrolled),0.025970423933485032,1.0,Curricular units 1st sem (enrolled)
num__Admission grade,0.0259091673146552,0.6,Admission grade
cat__Application mode_1,0.021451886360604577,0.8,Application mode
cat__Application mode_18,0.01936939340510757,0.0,Application mode
cat__Previous qualification_3,0.019291398325628872,0.0,Previous qualification
cat__Father's occupation_1,0.016385114521362043,0.2,Father's occupation
cat__Father's qualification_11,0.014988481055122627,0.0,Father's qualification
cat__Mother's occupation_8,0.014592846641901858,0.2,Mother's occupation
num__GDP,0.014573935320566278,0.0,GDP
cat__Mother's occupation_194,0.014223647377537008,0.0,Mother's occupation
cat__Mother's occupation_132,0.014061745704696316,0.0,Mother's occupation
cat__Mother's qualification_26,0.013890828468640093,0.4,Mother's qualification
cat__Father's occupation_102,0.013491608261369858,0.4,Father's occupation
cat__Father's occupation_0,0.01290746889749017,0.0,Father's occupation
cat__Father's qualification_10,0.01290527161220667,0.0,Father's qualification
cat__Mother's occupation_10,0.012898176838429531,0.0,Mother's occupation
cat__Father's occupation_161,0.012590873884454457,0.0,Father's occupation
cat__Father's qualification_5,0.012138089400326901,0.0,Father's qualification
cat__Father's qualification_9,0.011870842783340718,0.0,Father's qualification
cat__Application mode_15,0.011162479773324518,0.0,Application mode
cat__Previous qualification_1,0.01091401198061348,0.0,Previous qualification
cat__Application mode_7,0.01084967191745334,0.0,Application mode
cat__Application mode_16,0.010078901180948119,0.0,Application mode
cat__Mother's occupation_90,0.00969434386952095,0.4,Mother's occupation
