model,selection,param_clf__C,param_clf__l1_ratio,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_fit_time
logreg,none,1.1219752813215704,1.0,0.8186422656164458,0.01464573399547891,1,0.8778689157676377,0.011932421011907885,0.14748744964599608
logreg,none,1.2357483710912178,1.0,0.8185928411216491,0.014710225332972586,2,0.8778160271152389,0.011992225335428463,0.16319661140441893
logreg,none,0.4206039057901998,0.0,0.8184831466729182,0.013741958015843478,3,0.8780254148591153,0.010853859671750107,0.04804062843322754
logreg,none,0.9846738873614566,0.0,0.8182275236864107,0.014770994397680015,4,0.8777223315463084,0.011190060065955234,0.07228403091430664
logreg,none,0.6553013900933984,1.0,0.8181827676269249,0.013320055666192317,5,0.8775545269236581,0.011407782328466974,0.10593805313110352
logreg,none,1.0907475835157696,0.0,0.817826305477686,0.015054258700962131,6,0.8776509461214858,0.011195289553688348,0.05255603790283203
logreg,none,1.1435780278433403,0.0,0.8177792932943639,0.015070373981479028,7,0.8776143460181542,0.011181414727172519,0.05248360633850098
logreg,none,0.21568228019263963,0.0,0.8176658905031466,0.01303509007283528,8,0.877879629789191,0.010446959661957753,0.05378913879394531
logreg,none,0.19069966103000435,0.0,0.8171406119136719,0.012775068770943875,9,0.8776780472407791,0.01029570236259132,0.046069097518920896
logreg,none,0.15876781526924,0.0,0.8169521665332962,0.01241700244012862,10,0.8777031105214794,0.010044503818020668,0.04780797958374024
logreg,none,0.16949768237884735,0.0,0.8168948636532951,0.01258913297058789,11,0.8776575479620053,0.010155361742277538,0.053541135787963864
logreg,none,0.14445251022763064,0.0,0.8167644760562958,0.012378666512887857,12,0.8776990657746513,0.009926195819625346,0.04811439514160156
logreg,none,0.37253938395788866,1.0,0.8166371477038986,0.0128526044257344,13,0.8771273455086203,0.010175061458392923,0.10740299224853515
logreg,none,3.4702669886504163,1.0,0.8151880918098555,0.015783127769227738,14,0.8759283197091132,0.011041106767806248,0.373050594329834
logreg,none,0.0745934328572655,0.0,0.8139944543021004,0.011285072543622814,15,0.8763734162619073,0.009134400061188975,0.08832306861877441
logreg,none,0.17885301261862016,1.0,0.812556496359209,0.012921501144754448,16,0.8756492684474948,0.009479428493261641,0.06534762382507324
logreg,none,0.03334792728637585,0.0,0.8101507751372866,0.010445184206042912,17,0.874473309313835,0.008508391763660533,0.0408660888671875
logreg,none,14.528246637516036,1.0,0.8082278337943049,0.014451351205086766,18,0.8714519585497588,0.010078766163477774,0.8853070259094238
logreg,none,73.92266140516048,0.0,0.8065651169331425,0.015010418079632345,19,0.86987734452782,0.009880019517695,0.08386201858520508
logreg,none,0.09022004468565618,1.0,0.8028593573263987,0.012766152542908827,20,0.8687765037181772,0.009714815052909994,0.04510464668273926
logreg,none,55.51721685244721,1.0,0.7956064869564956,0.014269311256274515,21,0.8676018110387315,0.009746850583383825,0.47880167961120607
logreg,none,0.04661686413912769,1.0,0.7908183137144279,0.012762685416605113,22,0.8596083970994126,0.009295575751486786,0.05335931777954102
logreg,none,0.014271483774997193,1.0,0.779256940494782,0.014370505432519524,23,0.8544501781427934,0.009132024892092376,0.034880542755126955
logreg,none,0.008260808399079604,1.0,0.7693022418217441,0.011041651542127833,24,0.8494064815642748,0.012035006203775648,0.04295635223388672
